iter	MultiClass
0	1.791042087
1	1.790460794
2	1.789881836
3	1.789353861
4	1.788894643
5	1.78850815
6	1.788086246
7	1.787765421
8	1.787516213
9	1.787105281
10	1.78678351
11	1.786490603
12	1.78616987
13	1.785707618
14	1.785413825
15	1.785054258
16	1.7847019
17	1.784437363
18	1.784125859
19	1.783831793
20	1.783530936
21	1.783263625
22	1.783022636
23	1.782516965
24	1.782215825
25	1.7819113
26	1.781488983
27	1.781055322
28	1.78078204
29	1.780497821
30	1.780113128
31	1.779803836
32	1.779514607
33	1.779085183
34	1.778803301
35	1.778534019
36	1.778247397
37	1.77810799
38	1.777915147
39	1.777670448
40	1.777373742
41	1.777013567
42	1.776789977
43	1.776635983
44	1.776361706
45	1.776124107
46	1.775731518
47	1.77543397
48	1.775175887
49	1.774958404
50	1.774688342
51	1.774208317
52	1.773947923
53	1.773529224
54	1.773051625
55	1.772761779
56	1.772517748
57	1.772070069
58	1.771757194
59	1.771479508
60	1.771289148
61	1.770872046
62	1.770659921
63	1.770241426
64	1.769799536
65	1.769596888
66	1.769402708
67	1.769246068
68	1.769011794
69	1.76873317
70	1.768401837
71	1.768065993
72	1.767803201
73	1.767523075
74	1.767286234
75	1.767076969
76	1.766732199
77	1.766453178
78	1.766112981
79	1.765732156
80	1.765243967
81	1.764972789
82	1.764657792
83	1.764342536
84	1.764013988
85	1.763809091
86	1.763662173
87	1.763499793
88	1.763190925
89	1.762893665
90	1.762659428
91	1.762443641
92	1.762209566
93	1.761917963
94	1.761602538
95	1.761226075
96	1.761006675
97	1.760875198
98	1.760720985
99	1.760529287
100	1.760275369
101	1.760096057
102	1.75990674
103	1.759623451
104	1.759280013
105	1.758971704
106	1.758768865
107	1.758482103
108	1.758291508
109	1.758003774
110	1.757727907
111	1.757540186
112	1.757377815
113	1.757197193
114	1.757033408
115	1.756763228
116	1.756451732
117	1.756175116
118	1.756052837
119	1.755693691
120	1.755425032
121	1.755152338
122	1.754865664
123	1.754565808
124	1.754345483
125	1.754155215
126	1.753801311
127	1.753591191
128	1.753245368
129	1.75286711
130	1.752546081
131	1.752357011
132	1.752030185
133	1.751731017
134	1.751435015
135	1.751095528
136	1.750665018
137	1.750294784
138	1.749883503
139	1.74957074
140	1.749185961
141	1.748872009
142	1.748564375
143	1.748166896
144	1.747909043
145	1.747675603
146	1.747389925
147	1.746984478
148	1.746684603
149	1.74641187
150	1.746091181
151	1.745724538
152	1.745425502
153	1.74506908
154	1.744759924
155	1.744496659
156	1.744250317
157	1.744048958
158	1.74366818
159	1.743447027
160	1.743217055
161	1.743032845
162	1.742744784
163	1.742509771
164	1.742217904
165	1.742019035
166	1.741740409
167	1.741447573
168	1.74114196
169	1.740844375
170	1.740550925
171	1.740243567
172	1.739985932
173	1.739772052
174	1.739516748
175	1.739147949
176	1.738893711
177	1.738660373
178	1.738351196
179	1.738170086
180	1.737832627
181	1.737523555
182	1.737305465
183	1.736998338
184	1.736642968
185	1.736364816
186	1.736064036
187	1.735733286
188	1.735391273
189	1.735103703
190	1.734882804
191	1.734658992
192	1.734399517
193	1.734061427
194	1.733745219
195	1.733507418
196	1.733314077
197	1.733076966
198	1.732783588
199	1.73253236
200	1.732310724
201	1.732022897
202	1.731872678
203	1.73161817
204	1.731299862
205	1.731097146
206	1.730862654
207	1.730518689
208	1.730315222
209	1.73003336
210	1.729713468
211	1.72942292
212	1.729226896
213	1.728981299
214	1.728737949
215	1.728460514
216	1.728221158
217	1.727997598
218	1.727782145
219	1.72753203
220	1.727187921
221	1.726943733
222	1.726656835
223	1.726456191
224	1.7261921
225	1.725840007
226	1.72548714
227	1.725228534
228	1.724932491
229	1.724796896
230	1.724582495
231	1.724300361
232	1.72408659
233	1.723769463
234	1.723489407
235	1.723263028
236	1.723016799
237	1.722792223
238	1.722527948
239	1.722282497
