iter	Passed	Remaining
0	21	21320
1	38	19317
2	54	18235
3	71	17791
4	88	17592
5	104	17258
6	122	17323
7	140	17467
8	157	17385
9	176	17426
10	192	17287
11	210	17346
12	229	17416
13	248	17466
14	265	17457
15	284	17520
16	303	17565
17	323	17674
18	346	17892
19	368	18080
20	391	18254
21	413	18384
22	431	18336
23	452	18382
24	470	18352
25	490	18385
26	509	18377
27	530	18410
28	548	18362
29	564	18262
30	585	18307
31	606	18344
32	628	18423
33	649	18466
34	669	18448
35	689	18450
36	706	18390
37	726	18385
38	744	18356
39	761	18270
40	780	18254
41	798	18207
42	817	18196
43	835	18147
44	853	18116
45	871	18080
46	890	18055
47	909	18037
48	927	17992
49	945	17963
50	965	17964
51	985	17971
52	1002	17912
53	1021	17891
54	1040	17878
55	1057	17834
56	1076	17814
57	1097	17824
58	1120	17867
59	1141	17880
60	1158	17840
61	1179	17847
62	1199	17847
63	1219	17838
64	1238	17819
65	1256	17780
66	1276	17770
67	1294	17737
68	1312	17714
69	1330	17681
70	1350	17676
71	1370	17657
72	1387	17623
73	1409	17632
74	1428	17620
75	1444	17565
76	1464	17560
77	1485	17558
78	1503	17531
79	1525	17544
80	1552	17613
81	1574	17621
82	1595	17622
83	1615	17621
84	1635	17602
85	1654	17586
86	1673	17566
87	1697	17590
88	1715	17554
89	1739	17583
90	1760	17589
91	1779	17560
92	1801	17566
93	1822	17568
94	1844	17574
95	1864	17558
96	1883	17538
97	1903	17520
98	1923	17502
99	1941	17475
100	1960	17448
101	1978	17416
102	1997	17391
103	2016	17375
104	2039	17387
105	2060	17376
106	2079	17355
107	2101	17356
108	2119	17325
109	2138	17305
110	2158	17283
111	2176	17255
112	2194	17228
113	2212	17198
114	2230	17164
115	2250	17150
116	2270	17136
117	2290	17122
118	2308	17088
119	2327	17067
120	2347	17052
121	2364	17015
122	2385	17011
123	2404	16986
124	2422	16959
125	2439	16918
126	2458	16898
127	2475	16866
128	2494	16843
129	2513	16822
130	2532	16801
131	2553	16793
132	2575	16790
133	2598	16790
134	2621	16796
135	2644	16800
136	2665	16793
137	2691	16813
138	2716	16827
139	2743	16853
140	2768	16868
141	2791	16869
142	2813	16858
143	2837	16869
144	2857	16847
145	2875	16821
146	2895	16802
147	2916	16790
148	2936	16769
149	2953	16738
150	2972	16713
151	2991	16690
152	3011	16668
153	3030	16649
154	3053	16645
155	3074	16632
156	3099	16642
157	3121	16635
158	3148	16655
159	3168	16635
160	3188	16613
161	3207	16591
162	3229	16582
163	3248	16561
164	3265	16526
165	3282	16490
166	3300	16463
167	3318	16435
168	3336	16404
169	3354	16377
170	3373	16352
171	3393	16337
172	3412	16311
173	3430	16283
174	3447	16254
175	3466	16231
176	3485	16204
177	3502	16173
178	3523	16160
179	3540	16127
180	3559	16104
181	3577	16077
182	3594	16046
183	3614	16030
184	3635	16014
185	3654	15994
186	3673	15971
187	3693	15951
188	3711	15926
189	3731	15907
190	3747	15874
191	3765	15845
192	3786	15830
193	3805	15810
194	3825	15792
195	3844	15769
196	3861	15741
197	3879	15715
198	3898	15690
199	3918	15673
200	3936	15646
201	3955	15625
202	3974	15602
203	3992	15576
204	4012	15562
205	4030	15536
206	4050	15515
207	4071	15502
208	4089	15477
209	4109	15459
210	4128	15438
211	4148	15421
212	4166	15393
213	4184	15368
214	4201	15339
215	4221	15322
216	4238	15293
217	4256	15268
218	4275	15248
219	4295	15228
220	4314	15209
221	4334	15191
222	4355	15176
223	4373	15151
224	4392	15128
225	4410	15106
226	4429	15085
227	4450	15068
228	4469	15048
229	4486	15021
230	4504	14994
231	4524	14976
232	4542	14952
233	4560	14930
234	4580	14910
235	4597	14884
236	4616	14860
237	4635	14841
238	4655	14824
239	4675	14807
240	4696	14790
241	4714	14767
242	4733	14746
243	4753	14729
244	4773	14708
245	4790	14682
246	4808	14658
247	4826	14633
248	4845	14612
249	4863	14590
250	4883	14572
251	4902	14552
252	4924	14539
253	4942	14516
254	4961	14494
255	4980	14473
256	4999	14453
257	5018	14432
258	5035	14407
259	5054	14385
260	5071	14360
261	5090	14338
262	5109	14319
263	5128	14298
264	5148	14279
265	5166	14256
266	5182	14228
267	5202	14209
268	5220	14185
269	5241	14170
270	5259	14149
271	5279	14129
272	5297	14108
273	5314	14082
274	5333	14060
275	5350	14035
276	5367	14010
277	5384	13984
278	5401	13959
279	5419	13937
280	5439	13917
281	5456	13893
282	5475	13872
283	5492	13846
284	5509	13821
285	5527	13800
286	5547	13781
287	5566	13761
288	5585	13742
289	5603	13719
290	5622	13698
291	5641	13677
292	5659	13656
293	5677	13632
294	5694	13609
295	5711	13584
296	5729	13560
297	5748	13541
298	5767	13520
299	5789	13508
300	5812	13497
301	5832	13479
302	5854	13466
303	5875	13451
304	5898	13441
305	5924	13436
306	5947	13426
307	5969	13412
308	5989	13392
309	6007	13372
310	6025	13349
311	6045	13331
312	6065	13313
313	6083	13290
314	6102	13270
315	6120	13247
316	6140	13230
317	6160	13213
318	6182	13198
319	6206	13188
320	6228	13174
321	6250	13161
322	6272	13147
323	6291	13126
324	6312	13111
325	6331	13091
326	6351	13071
327	6369	13049
328	6388	13030
329	6408	13010
330	6426	12988
331	6446	12970
332	6466	12952
333	6485	12933
334	6503	12910
335	6525	12896
336	6549	12886
337	6574	12875
338	6593	12856
339	6613	12837
340	6637	12827
341	6659	12812
342	6682	12799
343	6707	12791
344	6729	12775
345	6755	12769
346	6777	12754
347	6799	12738
348	6821	12724
349	6843	12709
350	6861	12686
351	6882	12669
352	6899	12646
353	6918	12626
354	6936	12603
355	6957	12585
356	6974	12562
357	6995	12545
358	7014	12525
359	7034	12505
360	7055	12489
361	7075	12469
362	7095	12450
363	7114	12430
364	7131	12407
365	7152	12389
366	7172	12370
367	7191	12351
368	7210	12330
369	7231	12313
370	7251	12293
371	7269	12271
372	7290	12255
373	7310	12235
374	7328	12214
375	7347	12194
376	7370	12180
377	7390	12160
378	7409	12140
379	7427	12118
380	7445	12096
381	7464	12076
382	7482	12054
383	7502	12034
384	7521	12014
385	7542	11997
386	7563	11979
387	7581	11959
388	7599	11936
389	7626	11928
390	7647	11910
391	7667	11891
392	7688	11874
393	7712	11862
394	7733	11845
395	7757	11832
396	7779	11816
397	7802	11801
398	7825	11786
399	7845	11768
400	7865	11748
401	7884	11728
402	7902	11706
403	7920	11685
404	7938	11663
405	7957	11642
406	7977	11623
407	7997	11604
408	8016	11584
409	8034	11562
410	8053	11542
411	8073	11522
412	8092	11501
413	8112	11482
414	8129	11459
415	8149	11440
416	8168	11419
417	8187	11399
418	8206	11379
419	8224	11357
420	8244	11338
421	8262	11317
422	8282	11297
423	8303	11280
424	8325	11264
425	8345	11245
426	8366	11226
427	8384	11205
428	8403	11185
429	8422	11165
430	8441	11144
431	8460	11124
432	8480	11105
433	8500	11085
434	8517	11062
435	8537	11044
436	8556	11024
437	8575	11003
438	8595	10983
439	8618	10969
440	8638	10949
441	8659	10932
442	8678	10911
443	8696	10890
444	8715	10870
445	8734	10849
446	8752	10827
447	8769	10805
448	8788	10784
449	8808	10765
450	8825	10743
451	8843	10721
452	8862	10702
453	8880	10679
454	8897	10657
455	8917	10638
456	8941	10624
457	8962	10605
458	8984	10590
459	9003	10569
460	9021	10548
461	9044	10532
462	9062	10510
463	9080	10489
464	9100	10470
465	9117	10447
466	9136	10428
467	9155	10407
468	9175	10387
469	9195	10369
470	9214	10348
471	9232	10328
472	9250	10306
473	9267	10284
474	9285	10262
475	9302	10240
476	9322	10221
477	9339	10199
478	9359	10179
479	9378	10159
480	9399	10141
481	9418	10121
482	9436	10100
483	9454	10080
484	9473	10059
485	9492	10039
486	9513	10021
487	9533	10002
488	9551	9981
489	9572	9962
490	9591	9943
491	9610	9922
492	9629	9902
493	9649	9883
494	9665	9861
495	9684	9840
496	9704	9821
497	9722	9800
498	9741	9780
499	9761	9761
500	9780	9741
501	9797	9719
502	9815	9698
503	9834	9678
504	9850	9655
505	9868	9634
506	9885	9612
507	9902	9590
508	9922	9571
509	9940	9551
510	9960	9531
511	9976	9508
512	9996	9489
513	10012	9467
514	10030	9446
515	10049	9426
516	10066	9404
517	10083	9382
518	10102	9363
519	10122	9343
520	10141	9323
521	10159	9303
522	10178	9283
523	10197	9263
524	10215	9242
525	10233	9221
526	10250	9199
527	10267	9178
528	10287	9159
529	10306	9139
530	10327	9121
531	10346	9102
532	10366	9083
533	10385	9063
534	10404	9043
535	10422	9022
536	10441	9002
537	10462	8984
538	10481	8964
539	10501	8946
540	10521	8926
541	10540	8907
542	10559	8886
543	10579	8868
544	10600	8849
545	10620	8830
546	10638	8810
547	10655	8788
548	10674	8769
549	10693	8749
550	10712	8729
551	10732	8710
552	10750	8689
553	10771	8671
554	10789	8651
555	10807	8630
556	10826	8610
557	10846	8591
558	10865	8571
559	10884	8551
560	10902	8531
561	10922	8512
